trial_id,random_state,dataset_fraction,dataset_rows,aggregate,method,exact_result,estimated_result,relative_error,time_seconds,sample_fraction,sample_size,confidence_interval_lower,confidence_interval_upper,relative_error_estimate
5,297,0.25,2500,AVG,Uniform Sampling,425.948004,424.5292,0.0033309323830051866,0.00025279999999838765,0.1,250,,,
5,297,0.25,2500,AVG,Stratified Sampling,425.948004,441.17700516133374,0.03575319292101604,0.002265999999963242,0.1,248,,,
5,297,0.25,2500,AVG,Adaptive Sampling,425.948004,424.5292,0.0033309323830051866,0.000599899999997433,0.1,250,382.93134170110676,466.12705829889325,0.09798585892064254
6,298,0.25,2500,COUNT,Exact Query,2500.0,2500.0,0.0,2.880000010918593e-05,1.0,2500,2500.0,2500.0,0.0
6,298,0.25,2500,COUNT,Uniform Sampling,2500.0,2500.0,0.0,0.00026320000006307964,0.1,250,,,
6,298,0.25,2500,COUNT,Stratified Sampling,2500.0,2500.0,0.0,0.0022458000003098277,0.1,248,,,
6,298,0.25,2500,COUNT,Adaptive Sampling,2500.0,2500.0,0.0,0.00025669999968158663,0.05,125,2500.0,2500.0,0.0
6,298,0.25,2500,SUM,Exact Query,1037788.1399999999,1037788.1399999999,0.0,2.9599999834317714e-05,1.0,2500,1037788.1399999999,1037788.1399999999,0.0
6,298,0.25,2500,SUM,Uniform Sampling,1037788.1399999999,1023678.9999999999,0.013595395299082928,0.00023759999976391555,0.1,250,,,
6,298,0.25,2500,SUM,Stratified Sampling,1037788.1399999999,954104.9257696833,0.08063612504794725,0.002725000000282307,0.1,248,,,
6,298,0.25,2500,SUM,Adaptive Sampling,1037788.1399999999,1026570.7333333333,0.010808956312284143,0.0009476999998696556,0.15000000000000002,375,941019.313128729,1112122.1535379374,0.08333709254189818
6,298,0.25,2500,AVG,Exact Query,415.11525599999993,415.11525599999993,0.0,2.7300000056129647e-05,1.0,2500,415.11525599999993,415.11525599999993,0.0
